,Comments
233,christy i can t comment on that as my phone usage is very low i don t have any of the usual big battery draining apps whatsapp fb etc amp i don t use my phone at all while charging as well as few minutes after i generally only click still photos so i haven t experienced any heating or battery issues so far
234,christy i suppose you would get that with any pixel phone
235,but a you get unlimited photos storage
236,a has heating issue and very poor battery rest i think it is a good compact phone
237,such a coincidence meeting this comment here for i m currently using a and thinking of jumping straight to a too
238,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
239,omair ali bhutto yes absolutely though sony xperia z compact is my most favourite phone i have ever used in terms of looks amp in hand feel but this one as an quot overall phone quot is my most favourite so far
240,wewake it s absolutely fine i miss ultrawide cam sometimes but not much as to look for a new phone only for that i m only a bit bored of it though i generally like more coloured vibrant phones the main reason that i want to switch to a or is i ll be giving my current a to my mom whose current phone nokia though still working fine has gotten quite old
241,what s best smartphone under k k for camera for year stable use
242,wait for the price to drop as you already own a good phone
243,gg at k
244,omair ali bhutto do you have the a g or the normal a
245,nothing like a its one of the best phones i have ever used small slim compact didn t find anything like it till now
246,how s the a doing tho
247,the only downside is limited storage gb version must be an option br edit people crying and telling me that it has unlimited cloud storage then please go ahead and buy it because google discontinued unlimited free cloud storage in new devices from br edit nothing phone might be a better option let s see
248,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional
249,gb is more than enough for me it could definitely be a problem though
250,i have google pixel which has unlimited google photos storage and quite happy with it neither i am interested to trade in my phone i may upgrade to pixel considering the price and features but most likely would not trade in
251,irfan ali ansari i m using pro i m not able to find any such option
252,i m still getting unlimited photo storage in my pixel
253,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes
254,google still offers unlimited storage for images and videos for pixel devices
255,mellowmood everyone is not like you if you love video recording and your phone takes good pictures you will understand that even gb needs to be unloaded frequently yes at the end we need a hard drive but i don t want to keep unloading my phone too often i have a gb phone and only gb is available after unloading videos
256,ashwath salaskar only on pixel and earlier they stopped it with pixel series i own a pixel
257,me pixel use kar raha ho unlimited storage nahi hai pixel me ab last pixel series me tha us ke bad se nahi hai
258,what s best smartphone under k k for camera for year stable use
259,google photos is still getting unlimited storage in storage quality bruh br i am still using it till now
260,chinni diwakar that s right
261,not only you are getting gg at k like dude seriously
262,aman hata diya
