,Comments
820,i am in the i exchanged my a and brought an a group and boy do i don t regret it
821,here im waiting for bbd untill then i am loving my a
822,i am in group who is going to upgrade from pixel a but wait for bbd sale so that i get it for below k
823,waiting for it to come down to or lower
824,just wait for a year tbh and the pricing will come down when sales will be low as we witnessed same for google pixel a
825,bro pixel was available for k in amazon
826,group would rather buy pixel which is better and costs k pixel a is weirdly priced rather overpriced imo
827,it seems like pixel a is better than flagship pixel
828,we all are gonna wait and buy it on bbd sale that will be the best price for the pixel a
829,i m in after heavy discount i will see if i can afford group
830,group man this time its a strong package that google offers
831,i love pixel phones main reason im scared to get it is bcz of privacy
832,didn t mention the fact that price reduce to k during october
833,group after having a
834,i m in group the ones who will wait for few months when say it a best deal at k after it s price drop
835,i m from group slightly overpriced but a decent package
836,i am a student and i want a decent phone in that range should i get a google pixel a or google pixel
837,when will pixel launch
838,i can t ignore those thick black bezels
839,group will wait for the price drop
840,i m in a group in which i wait to price drop of a on offers like a n like to buy under k
841,can you please share an in depth comparison of pixel a with s fe
842,s fe exynos isse acha tho s fe hai
843,fast charging makes more sense then support for wireless charging
844,hi can you do pixel a vs a
845,does it have a fast charger
846,hate the charging time compared to the one plus nord or poco f but the pixel are just so damn smarter then the competition
847,is it better than samsung s fe g please reply i m going to buy
848,ohh pixel a is better than a what an achievement
849,group those who will wait for price cut
850,go for s fe still it is the best phone to buy in value for money category
851,easily group it s a well rounded phone especially in india
852,does it have the manual mode
853,but wouldn t people turn towards pixel since there isn t much price difference between and a
854,pixel a is added to my bbd wishlist
855,is pixel pro better
856,i already got this pixel a and it s look like flagship phone
857,i m in between both the groups who will wait year for price drop
858,really good to see videos comes in just mins after office lunching
859,pixel a vs pixel a camera comparison
860,good with pixel a
861,samsung giving os update but those update are like months late unlike day one in pixel
862,obviously group as we all know that smartphones launching this year will be expensive and also a watch launched at the same price with lot of missing features although i am an iphone user still if i get a chance to choose i will go for pixel phones rather than a samsung phone or a bbk product
863,pixel pro available in k in indian second hand market
864,group can wait for the price drop
865,google will eventually bring it under k so i am in group
866,you can get snapdragon plus gen for this price but the camera might be good in google idc because performance is future proof
867,i am in group just wait for the prices to go down like pixel a
868,i know the price will be reduced to k after months so i am in group b
869,group but waiting for the price drop
870,guys let s wait for offer time it s group look a getting under k hopefully we will get a on that price bracket
871,group wait until price reduce
872,ordered pixel a the moment it launched
873,i will wait for flipkarts bbd sale
874,and then comes the group which will wait for the prices to drop
875,group wait for the price to drop
876,pixel a has serious call br drop issue
877,pixel and a look quite thick in my opinion
878,pixel costs similar isn t it better to buy that instead
879,i am in group br when the price will drop in next sale i will buy pixel a
880,should we buy google pixel from amazon k in br priority whole day battery camera no gaming at all and long lasting years chale
881,bezels are deal breaker for k
882,just think pixel a goes down under k just like pixel a in bbd sale omg greatest ever deal
883,after months i will be in group br till then beebom rocks
884,will wait till big billion day and will catch this for sure
885,does this take better photos than oneplus r and vivo v pro if yes i will be in group
886,what s best smartphones under k
887,is s fe better
888,this will be a no brainer during sales
889,bro can u make a and a comparision
890,i have nothing phone gb months old and am getting valve of k in exchange does it make sence for me to get pixel
891,good package you ll get a good deal of it in big billion days sale
892,is it worth buying a pixel a now for rupees given that i need a phone urgently but i will be changing my phone and giving it to my mom after months
893,group will buy it during bbd sale
894,wait till price drop you can get it at k i believe
895,im in group who will pay just more and get the pixel instead pixel is selling k on amazon
896,watching it in my pixel and i can t find any difference from my phone apart from maybe glass back
897,i bought the a last month what should i do
898,is the image sensor same as that in p
899,i think wireless charging only in w
900,i m in group who waits to price drop and buy it at under k
901,group waiting for the price to drop down
902,let the price fall to around k maybe then i will consider
903,well i m in group waiting for the price to go down so we can purchase it
904,they could ve launched it on android
905,i m in the group where we wait for the price to drop
906,that s what my dad makes in a month i m in the group quot mehengai quot br br i m waiting for the time when the chips are being made in india so that we can actually buy the phones at the price which is more affordable
907,i am in group who will wait for its price cut at around k
908,how is battery performance i am buying for first time and i have booked it
909,it is an ai phone
910,sir could you please suggest any way to update to miui and android on the legendary xiaomi k pro as the phone is already listed dead for xiaomi they have stopped providing any updates please please please
911,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
912,shame no sd card slot
913,groud will buy once after price drop
914,i will buy it for sure around k
915,i will purchase it this year if its price go down
916,group well balanced after card discounts
917,pixel a is still my best choice
918,galaxy s fe for k much worth than this
919,why don t use guys talk about network reception on mobile data and battery drain issues on the tensor g chipset
920,i am in group aka the ones who are praying for a price drop in the future like the a
921,can any one help me choose my next phone here pixel a or pixel or pixel pro my budget is below k
922,group br wait and buy when the price drops
923,i would get the you can find it new for cheaper than a online
924,pixel struggle still persists
925,just wait for a few months google is known for marking down its price and sales or wait for a good carrier deal
926,i am in group waiting for the price to go down
927,pixel br so group although it is a good package
928,we are getting pixel at same price amazon
929,i have faced a lot of connectivity issue with my pixel no proper g even not g br and im expecting same with pixel a with a poor connection
930,none of the tech youtubers are talking about this issue bro the network connectivity in pixel and series are really bad spending this much money for a phone which fails to perform the basic functionality of making a call is utter bs
931,i would buy it in bbd honestly now i see no point in pixel for me personally google nailed it with pixel a all i want at a affordable price
933,charging is an absolute deal breaker i know people who would want to buy this but won t just because of it s charging speed
934,go with pixel
935,group wait for the big billion days sale to get the pixel a under k
936,those bezels man
937,still no dolby atmos wow google
938,group cause the price will drop big time during bbd sale
939,pixel users be like quot din me pessa double quot
940,why are they not providing an amoled display instead of just oled price on higher side
941,in months time it will be k then i ll buy it
942,but confusion is all ready price is k and a price is k that s mean big brother pixel is a good choice for purchase
943,group waiting for a few months to reduce prices like a
944,which one will best option samsung s or google pixel a br for camera ui performance
945,s is far better but bruh it costs k
946,don t get fooled get s if your budget allows it
947,we are in between a and b who waits for sale and will grab it at k
948,compare camera with pixel onepls r onepls samsung s fe br then i will tell in which group i am
949,pixel lover
951,pixel a or s fe
952,can t afford but still watching love from j amp k
953,but you can purchase pixel instead which has cg glass victus
954,if google had used snapdragon instead of exynos it would have created the monopoly
955,no charger in the box so i m definitely in group
956,group wait for it to get below k in sale
957,i will buy in next big billion days
958,group wait for months price will drop then buy it in sale
959,i m in group i m waiting for big billion day price cut
960,cant wait this phone to beat all the flagships out there in blind test camera from mkbhd
961,group off course
962,what about the service centres
963,group now and in group at big billion days
964,i belongs to the group who wait for big billion day sales
965,what about the group who s gonna wait for sale and grab it under k
966,buying pixel a would better than buying pixel suggestion
967,simply i will wait for few months to get price drop on this device
968,plastic back and wireless charging if thats possible why did they bring glass back earlier
969,thick bezel in could have make it curved
970,is thier any heating issue with this phone
971,i think k is fair price
972,in group waiting for grapheneos to support this
973,looks like a phone they should have launched in
974,right now in group one but will switch to group after years lol
975,group buy at k during bbd sale
976,pixel kudos
977,group until the gif and bbd sale kicks in
978,ofcourse overpiriced as a s real price has been for almost a tear now its just the novelty price and will be reduced in few months
979,i m in group a waiting for price drop to become group b
980,full comparison between pixel and a please
981,i think this phone should best around
982,mark my words this will come down under k in big billion day sale br not a right time to buy currently
983,first video for pixel a br and mine first comment br good work for both of us
984,group waiting for the price to go down
985,i would still go for pixel
986,yea the bezels looks almost as thick as an iphone
987,its fair price should be i still believe r and v pro overall better value phones at their price lets wait for phone
988,is it better than nothing phone
989,those bezzels are very noticable
990,i m in gr who will wait for the bbd sale to bring down its price to k
991,i will wait for big billion days then decide
992,i will buy pixel over pixel a
993,beebom is like sprite quot sidhe baat no bakwas quot i m in group till bbd
994,giant bezels and no dual apps
995,group waiting for bb price cut
996,group waiting for price drop
997,k seems little expensive br it should be k br just my opinion
998,after months this will go down under k u cant beat that
999,memory is just gb no other options available it seems thats disappointing
1000,i will be in group during bbd sale when it sells for k
1001,looks dope
1002,i am in rd group quot better but pixel quot this is my group
1003,group due to the processor
1004,i am in neither of the groups you mentioned bruh i am in the group which would like to wait for a price cut
1005,might as well get the pixel
1006,isn t pixel available at on amazon why would someone get this at basically the same price
1007,will buy it next year at
1008,was there any hitting issue you faced in your test
1009,please do a unboxing of lava agni g
1010,s fe still a better choice
1011,can i exchange it with pixel a
1012,i am from group lets buy this in after releasing pixel a so that i can get it around k
1013,is their any room for another group group any word on xiaomi will launch in india
1014,group and in bbd there will be group mad deal
1015,you can get the pixel for k why should one save k and get downgraded specs
1016,group will be waiting for diwali sale
1017,can i pay k extra for those cameras campared to s fe
1018,it s a good package i m in group
1019,definitely group pixel costs below k
1020,lets just compromise on specs and hz amoled but then pixel a is a good phone
1021,hey a bro be ready for many os and app bugs br br your friendly neighbour pixel
1022,pixel is k pixel a is k
1023,if it s my money i will pay little extra and grab pixel
1024,group wait for price drop
1025,pixel is selling for k on amazon i think pixel will still be a better option
1026,what s best smartphone under k k for camera for year stable use
1027,one can buy pixel for k
1028,this phone or iphone during sale
1029,left technical gurujis video to watch yours cause the quality
1030,group only because of gorilla glass at least they need to give glass if victus series is costly
1031,pixel a at k gt gt a at k until bbd sales
1032,g people only watching all launches but strictly not to buy
1033,why dont tech reviewers dont talk about iphone specs when they review iphones as much as they do on other devices like what sony sensor the iphone is using or whatever
1034,group waiting for price reduction and get it under k
1035,group bcz i get my pixel a at k only
1036,legends are waiting for diwali sale
1037,i m in grp waiting for the price to drop down in the bbd sale so that i can recommend to frnds
1038,wow watching this video in the first minute of it release
1039,they made a mm thick phone and still couldn t manage to fit a bigger better
1040,i am in group good review
1042,days ago i sell my a br thousand taka br which i bought thousand taka br br now planning to buy a very very upgrade
1043,pixel a has same performance as my rog phone but rog phone has better thermals and way better then pixel a at gaming
1044,google fixed everything except price
1045,im in the group thats going to get it for k in a couple of months
1046,i m in group waiting for bbd sale
1047,i am in group i will wait months when the price will go down
1048,waiting for diwali sale
1049,group the ideal market to be targeted is now k to k
1050,group be patient you know what i mean
1051,group waiting for the reduced price during big billion
1052,group wait for months and buy at k
1053,bought it already
1054,is the gb varient available in india
1055,nope
1056,with only k extra pixel is a better buy imo
1057,i will g br still waiting for price cut k
1058,getting it around k with special discount
1059,i will either buy pixel a or oneplus r in bbd sales
1060,i m in group get pixel
1061,will society accept me if i say i like those thicc bezels
1062,the wireless charging is like w and not w
1063,i cant understand why there control pannel always remain dark it bug or what the reason cant understand
1064,is it just me or the back of the device does not look the the device launched in io today
1065,now group br after m when it goes for k group
1066,group when a will bi under k
1067,still group one because they could have upgraded the battery
1068,may be group waiting for bbd sale to get this at k
1069,group for every phone
1070,its overpriced especially considering we can get pix at
1071,goggle made use fool i bought pixel with extra price and less features
1072,bezels i work for tvs but anyway
1074,group now and group while big billion days
1075,every product is good at beginning so its not shoking google is smooth and light
1076,group buy it in diwali sale for k
1077,me group amp waiting for big billion days
1078,group i will buy pixel in bbd
1079,it s all lovey dovey till you have to claim warranty in india trust me it s not worth the hassle
1080,i m in group three quot can t afford it quot
1081,i will say a it s a very good overpriced package
1082,group because getting k of on hdfc credit card so getting it in k
1083,pixel is still better in k than a in k
1084,group but over too my budget soo group
1085,why not buy pixel at the same price
1086,group wait for sale and price drop
1087,waiting for big billion days
1088,group covert in group after the price drop like pixel a
1089,i am gonna wait for months br so it s price drops a bit br coz br once a pixel user will always be a pixel user
1090,you should have compared it with pixel and not pixel a
1091,i agree with you sir my vote for group
1092,i am neutral bcoz i ll wait for big billion sales
1093,the bezels jesus
1094,i work in a retail store and attend almost calls per day please suggest a good phone for calls and whatsapp currently using redmi note pro and i phone
1095,battery br google aunty your call is now recording
1096,group buy pixel fro amazon for around the same price
1097,am a pixel user one thing the pixel phones lack is service only provided in major cities and not even available for semi metropolitan cities br if you live in cities like bangaluru or mumbai well n good
1098,group was expecting around k
1099,pixel vs a
1100,nothing phone feels like a better package when compared to a
1101,group iphones r the best
1102,you can get pixel for just pay more and get the flagship
1103,wireless charging w
1104,what about service or actually lack of it
1105,you can buy pixel for and s fe for right now
1106,to best price
1107,group using iphone
1108,i m in the quot wait for october sale quot group
1109,group br waiting for filpkart bbd sale
1110,wasn t the pixel in sale for k why would anyone buy a for k
1111,using same exynos chipset and calling it tensor
1112,im in that group who waits for big billion days
1113,pixel is at k in sale without bank discounts a at k does not make sense
1114,gb is not enough in need at least gb
1116,im ofc in grp br but pixel sells for like k which is rs higher than a and it offers better ip rating better cameras better speakers less bezels gorilla glass victus faster wireless charging faster wired charging glass back br so pixel is a better deal for now br if pixel a could come down under k it would be awesome
1117,grp it should be k k
1118,i just bought the pixel for k
1119,at that price why not just get the pixel instead google should definitely reduce the price to k
1120,group people are the ones who wait for big billion days and great indian festival where we can see massive price drops
1121,don t rush on this just wait until bbd sale
1122,pixel is available for like k more lol makes no freaking sense to purchase this atleast right now
1123,group being indian we ll wait till it goes arround k
1124,as marques said its better to go for the instead of this br pixel was going for the exact same price
1125,and most likely the price of pixel will go down around k which is just perfect
1126,group price drop in big billion days bro
1127,pixel better package
1128,i am in rd group which waits for price drop
1129,quot fhd amoled hz br gorila glass ppi br br tensor g nm samsung ghz br gpu mali g br br lpddr dari samsung br ufs dari micron technologi amp sk hynix varian vendor br gb ram gb rom br br mp sony imx mp sony imx ultra wide mp front br ois gyros eis k fps br br mah w w wireless usb c br android years update os years security patch br br wifi e qualcomm wcn nfc bluetooth g ip dust water resistant up to m for min br br stereo speaker dua microphone br fingerprint under display br br glass front gorilla glass aluminum frame plastic back arctic blue white amp black br br gb gb
1130,what s best smartphones under k
1131,a lot of companies like redmi and realme ship phones with better specs at lower price but the software is just terrible i feel like the great software is worth the premium so yeah category it is
1132,i am in good package with card offers we can get it for k that s a good deal
1133,i m not in group but i still believes this phone are comes rs on big billian s time
1134,watts charging even samsung upgraded s series to watts
1135,how are the cameras compared to s fe
1136,gokul not worth it imho s fe captures great pictures amp videos as samsung s camera processing is top tier too compared to the pixel there is very slight difference in the camera qualities of both the phones talking about primary photos pixel might take better photos in of the scenarios due to the better sensor amp better processor s fe makes it upto it by a dedicated telephoto lens which will help in taking better portraits too
1137,can i pay k extra for those cameras
1138,imo it would be better if we put it up against the upcoming s fe br br talking about s fe it s available under k so a better deal rn
1139,i just don t understand why many people love face unlock when the fingerprint scanner works just a good get an iphone if you want face unlock lol
1140,im in group one untill the price of the phone goes under k
1141,better than a
1142,wait for pixel a
1143,just buy it on sale
1144,base price k so i will select group
1145,i am in group quot get pixel instead quot
1146,group just pay a little bit more and purchase a pixel
1147,i think ye sasta nai hoga or se neeche to nahi jaane wala br a ka aaram se milega ab
1148,rather wait for nothing
1149,its perfect
1150,group who will shift to during bbd sale
1151,group waiting for big billion days
1152,let us know when the price drops to under k
1153,group br waiting the price to get under
1154,will it not heat up while video recording like pixel a if it doesn t i will not buy it
1155,i wanna buy a new phone but my vivo that i bought years is still working fantastically well why should i discard something which is working so well to buy a new one wouldn t that be like wasting money
1156,let s wait for bbd and great indian sale
1157,group no doubt
1158,would rather buy a pixel for that price
1159,no gb option br esim is still not ready for indian market br should have hz amoled
1160,idk why are you comparing it to a rather than
1161,group br the best midrange phone
1162,good package
1163,pixel a was bought around k after some days of its launch
1164,group always will be
1165,is good price
1166,well im gonna see this video again during bbd
1167,better to buy oneplus
1168,the big billion day group
1169,google gives the same processor to a k pixel a and flagship phone l pixel fold
1170,watching this video on pixel a
1171,just wait for the big billion days
1172,w charging google just can t make a perfect budget phone can they
1173,gorilla glass seriously
1174,google makes phones as if they dont care
1175,group after few months price change l
1176,gorilla glass and reverse wireless charging of watts i mean at this price point reverse wireless charging that slow can only level battery percentage if you doing certain activity you ll be stuck at certain percentage not go up nor down br s k wold be wise choice than a
1177,what s best smartphones under k
1178,w charging with a okayish battery damn whyyyy br at least w
1179,i am in group br buy pixel at k after bank discount
1181,group obviously pixel costs k
1182,group october sale for k
1183,now telling mistake and flaws about pixal a but around months ago everyone recommending that phone
1184,group just get the better pixel
1185,but how to buy charger
1186,group may i will buy this in bbd sale
1187,why buy it at k when pixel is selling at k
1188,i m in amazon great indian sale group
1189,is there any network issue like pixel
1190,i also wants to know about it both series and series were plagued by network and wifi connectivity issues
1191,group br abt top notch specs s fe already has under k br wireless c br nfc br ip br camera br software br performance br battery for day
1192,i am in a group quot i can t afford it quot
1193,waiting for nothing phone compare with pixel a then wait for price reduction on both devices
1194,wait for next year sale
1195,the price is gonna drop soon like for a from rs to rs
1196,good attempt but is selling in india at k br it makes no sense to buy this phone
1197,bad pricing pixel avilable on sales
1198,i am in group even tho i am watching this video on an k phone
1199,group br wait till it comes under
1200,no update in charing still watt it will take hrs to charge
1201,oneplus r will win
1202,i just bought a picel a so i m in group
1203,changing is slow and price is much high
1204,commenting from pixel a br and now i am in group br because i bought it in k and k is really overpriced
1205,mkbhd and arun got the foldables br and i thought you got too
1206,bhai agar a me processor acha hota tou wo isko kha jata br lekin samsung ko har cheez kharab karna hai
1207,s fe g gt gt gt gt gt
1208,me still waiting my pixel a to give up so that i can upgrade
1209,jo he vo hi sahi he na group na group
1210,the market has changed the poco f is a better phone
1211,group during sales
1212,just watched marces s video but still here
1213,hail group not everyone wants a gaming phone going for a definitely
1214,call recording he jio video call support without internet
1215,pixel for k only
1216,better than samsung a
1217,would rather invest k more and get the pixel instead
1218,i have a pixel from usa
1219,why not go for pixel by paying k more
1220,w charging in u gotta be kidding me
1221,k for pixel is wayy better deal than this
1222,group br already have a good enough phone
1223,just mah battery in
1224,vonr enabled or not
1225,not fixed price battery
1226,the bezels are just too much
1227,waiting for big billion days and great indian festival sale to buy a phone
1228,we need gb variants of pixel in india gb is now classic amp useless
1229,group price drop br br or br br group not buying it
1230,there s a group that will wait for nothing phone
1231,group d waiting for diwali sale and bonus
1232,please say the truth usb c or
1233,is it w wc
1234,google releasing mid range phones with hz while apple iphone se series amp regular or non pro editions still capped at hz lmao
1235,i m in group gb gb is a joke for today s phone
1236,group a br group b br then comes group c who will wait for price drop and again a series will be hit
1237,why would anyone by a when is available almost for the same price
1238,i m in group which who waits for diwali festival season sale and then purchase it
1239,i am just concerned for nothing phone
1240,those thicker bezels realy look dirty it ruined the look of the display
1242,i m in my own group see you in bbd
1243,group waiting for bbd sales
1244,k hota to group mai chala jata
1245,comparison between google pixel a vs oneplus r vs moto edge fusion
1246,will buy in bbd abhi nahi
1247,good luck charging your phone for hrs
1248,then i am in group who doesn t want pixel phones and go for galaxy s series straightway
1249,pixel at now
1250,group wait for the price drop
1251,group br waiting for price drop on sales anyone here
1252,this should be priced at k maximum if you can afford k for this go for pixel instead
1253,group wait for pixel
1254,what s best smartphones under k
1255,group br i love pixel phones
1256,group a overpriced pricing should be around k
1257,group watch video only for fun
1258,group wait for bbd
1259,people will buy instead of a
1260,paise ho toh group paise na ho toh group
1261,then why to buy pixel
1262,my galaxy s fe g is better than google pixel a it s better hz display bigger battery better performance sd better
1263,can someone name the wallpaper used in
1264,easy call group only haters are in group it don t matter what google does they re always going to be in group
1265,gorilla glass
1266,you guys are superfast
1267,but now we can get pixel for k just k more than a so shouldn t you go for
1268,wait for diwali best prise
1269,group waiting for bbd
1270,i am in group big billion days
1271,group but if i only have money
1272,overprice will wait for it to get down to k
1273,i will probably go with group investing in a phone more than k is stupidity the reason is simple use a phone like a phone and not a computer and a dlsr not so complicated right
1274,i m in group until bbd then i ll be in group
1275,they are already loosing in for chat gpt and still they think best brand and play like apple being stubborn on giving features they will even loose in smartphone market its time for them to get more sales obviously they should give these features
1276,so the people who buys a like wasted time and money
1278,have to hold groups till nothing phone comes
1279,i ll be in group next year
1280,using pixel is another level experience br try before thinking it s overpriced br smoothness is almost same as iphones
1282,group
1283,not for heavy users fast charging is not fast enough in quot group quot
1284,group for sure
1285,group people like me who were using pixel experience rom on op t and bought pixel a only to realise t runs just as good br br ps a runs hot overheating while using the most basic stuff like scrolling netflix or calls pathetic
1286,i frankly feel like this a is not worth the k by getting a antutu score of lack where all other phones in this price range are getting plus gen
1287,groups wait until it s
1288,this video makes me sad i just bought pixel a days back
1289,group definitely
1290,enters pixel
1291,not worth more than k
1292,price is ok just can t afford it now recently bought poco f at high price so fuk
1293,group wait for big billion days
1294,exynose destroying samsung and tensor will destroy pixel same like color os killing oxygen in oneplus
1295,group br wait for bbd
1296,still w
1297,group no money to buy it
1298,its kind of mehh considering the price and the huge bezels looks really matter a lot br nothing s camera experience was better than last year s a pixel experience is what makes it unique and nothing else that proportionately
1299,utne me to pixel aa jayegi
1300,what was that third game he was playing
1301,still gorilla glass
1302,group can t afford it
1303,buy pixel in deals for the same price
1304,i am so torn between the a and the poco f pro
1305,nick usalis knight my friend s and my x pro died with motherboard issue another friends m died on its own imo not worth the risk and those devices wont last long with their software support
1306,ved prakash sahu i ve had and they have all lasted well it s their tech support that is bad no updates after years i also like that the pixel camera is great and android more pure
1307,dont go with poco there s no guarantee how long their motherboard will last
1308,any network issues
1309,pixel had network issues for quite some time they haven t fixed it yet
1310,those who want to purchase this mob wait till sep or oct for big billion sale
1311,google is a better deal than this a is a good update over a and that s about it
1312,smoooothhhh machaaa
1313,group
1314,it s still overpriced i will just wait for it to reduce the price to around k then only i am going to buy it if i want a new phone
1315,w charging lol
1316,let me come to k in october then
1317,i would be stupid big time to buy this at k when pixel is available at exact same price on amazon
1318,shady cry lol even with warranty google service sucks to core warranty doesn t matter for pixel they don t have a reliable service in india
1319,true but on amazon pixel phones dont have warranty just wait for big billion sale hoping it will drop to k something
1320,just placed an order a href about invalid zcsafez a
1321,watching this video in pixel a
1322,group for sure
1323,group for sure overpriced
1324,dos the a support esim
1325,wait for big billion days lol
1326,sony xperia launch
1327,wgy would anyone buy the pixel a for k when you can buy the pixel for around the same price during a sale
1328,jenshin impact
1329,i am from group who are waiting for big billion sale
1330,reminds of a certain very underrated samsung phone
1331,zain yeah for real
1332,the ray fe
1333,s
1334,who at beebom reads how to build a car
1335,did you forget to name tag the images
1336,group will wait for the price to drop below k
1337,ab to lgta h main e bhgwan hu subha subha ummid thi mjhe fon open krunga aur pixel a pr videos flash honge saamne and it happened
1338,bhai google io khatam toh hone detta
1339,i have a pixel after using this for a year i m experiencing a horrible battery condition br it barely stands for hrs the phone is discharging of the battery overnight br i totally dislike the phone now
1340,tensor again exynos s stepbrother no thank u
1341,group yaar pese nahi hain yeh phone lene k
1342,chatgpt will overtake google before google overtakes w charging speed
1343,i will buy this phone in
1344,i am group no money to buy
1345,group pixel k is better choice that this
1346,what s best smartphones under k
1347,when you realise that oneplus r g is a much better package then this one
1348,group
1349,after pixel xl pixel dead if they l re launch pixel xl with sd g or gen w min charging speed same design but inch screen amp mah battery i will pay k
1350,what s best smartphones under k
1351,group always
1352,do not buy pixel a on launch you can spent k more and can get pixel after months price will definitely go down
1353,bhai ne bola group toh group baki kuch nhi
1354,i am in the group that will wait for big billion day
1355,still it has more bezzel br nothing phone will kill both pixel a and samsung s fe
1356,beebom no groupism please
1357,this is not a amoled display paying k for a lcd screen is big no no in
1358,am i the only one who knows it s re uploaded
1359,if the phone hand gen instead of that crappy exynos
1360,group people know that they will not afford this but are still watching
1361,buy it on sale
1362,dont buy now wait for months price will come below k
1363,overpriced k k should have been the price
1364,jenshin impact
1365,pixel s processor and battery seems weak but the os on oneplus r is trash and camera also seems ok ok and no flagship features on r except for the processor of course will be waiting for nothing phone i am hoping it would bring best of both worlds
1366,the mp camera of the rear is it a sony sensor
1367,yep but there is a problem in it that is sony sensor size is small compare to other pixel sensor so after watching many review videos a images don t have as much details compared to other after zooming it in cameras also mega pixel mp tag doesnot matter size matters
1368,its certainly overpriced just look at pixel prices which is still a decent phone
1369,what are they smoking while pricing the phone br it would sell like hot cakes if they priced it k k and i guess people would understand k as well but k seriously why why would someone spending k not simply buy pixel
1370,overpriced
1371,i m in group i e can t afford
1372,gb is yahhhh
1373,group when i ll be under k
1374,i am in group
1375,what s the quot catch quot
1376,in group of quot non buyers quot
1377,a se achha month purana le lunga mkbhd bhi wahi bol raha hai
1378,bro why people are so obsessed with power software is everything experience a pixel or iphone tho i hate ios then you ll know
1379,group who won t even buy the phone just here for google
1380,gb for k oneplus offers better
1381,w is not a fast charging in come on google for k you should provide w atleast worst pricing worth only for k
1382,a still better at
1383,why to buy a when is available at k
1384,ankur mahajan hm is better to buy with k price difference
1385,prash still i would prefer over a with a difference of rs k
1386,k card discount also
1387,no group but it in big billion
1388,b i am using google pixel a device since last months and i am not able to make direct vedio call via carrier network i want to directly make a vedio call to my friend for which i have to use google s app like google meet or google duo for which we have to provided with high speed internet connection in india internet speed is not so good in rural areas this is not a user friendly behaviour by google it s a monopoly we are using google product itself so atleast google can give a access to direct vedio call so that we can call using carrier network like jio vi airtel the second thing is pixel get too much heated during normal youtube suffering and vedio calling via whatsapp from both back and front that it start giving you warning on temperature increase of your handset that is pathetic these problem are as it is after many updates rolled out by google i had sent my complaint to google itself till now that query is in progress and google had locked my comment from community so no other users can relate to my problem please its a heartful request to everyone please don t buy new google pixel devices go for any other phn b
1389,k i would rather buy oneplus r
1390,if i could differentiate i d be highlighted not me you know who
1391,overpriced
1392,with poor service network
1393,group after months
1394,bro just came out from darkness batman
1395,pixel purchase kr le is price me
1396,you can t manipulate us pixel a is still overpriced cameras are good because it s the successor of pixel a so it has to be
1397,iam in group br kharidna hai par paise nhi hai
1398,very much overpriced those thick bezels remind me of sony xperia phones years back
1399,grupe
1400,saabji ham group me jo hai so hai ham to le hi nahi sakte phir bhi video dekhlete hai
1401,pixel a br display br battery charger br performance br multimedia br price br camera br software br features
1402,group buy pixel for k
1403,the s fe is still a better option than this samsung owns the game man
1404,bro those bezels are too thick they look worse than xr and iphone
1405,is it waterproof i always dump my phone into
1406,group don t care about it
1407,any bees were bombed this time
1408,group
1409,why would anyone buy this at k when one can be buy pixel at k
1410,just wait for the big billion sale and buy the pixel at a better price k for this phone isn t worth it
1411,for exynos shit
1412,iam in group
1413,chinese phones are dead now
1414,group though
1415,i m in group when it is compared to other smart phone brands like oneplus and it s r device i got gb variant at with exchange br i m in group because its google neat and clean os and timely os updates i pixel os everything from google but these pixel phones get heat even when you watch youtube videos for minutes such a worst feature of google phones anyway google should fix it with a snapdragon chipset device in winter these pixel devices help you keep you warm all the time and life is not that good at any pixel device don t worry about that anyway
1416,akansha bloatware
1417,then vivo x
1418,akansha i see oneplus is better rest of them good but you might also get that green line beware if it happens within the warranty that is okay but what if it comes when the device is out of warranty oneplus doesn t accept display replacement so easily for an out of warranty device
1419,any smartphones with but better performance than pixel no option
1420,akansha pixel i recommend if you re not a gamer heavy user
1421,arjun mohandas yes that samsung e glass display but r is killing other smartphones in this budget users are getting hours sot i don t know how mine max hours sot oxygen os is bloatware free but it is still color os i don t like the ui scalling of a few pages are worse
1422,oneplus is shit these days for long term usage almost all my friends suffered an issue with their display
1423,what s best smartphones under k k br oneplus br motorola edge ultra br vivo x br iphone br pixel br or anything else
1424,buy pixel just by paying a few more bucks u get a lot more
1425,they can never fix the launch price never k pix vs k for a how dumb
1426,buy pixel instead by paying just k extra
1427,obviously grp
1428,the bezels are a big let down google just isn t serious for india the specs are also average on the contrary the poco f looks much more promising
1429,this pixel will destroy nothing phone
1430,group till big billion sale group in big billion sale group again after big billion sale
1431,i m in group br
1432,group definitely overpriced
1433,ghanta still heating issue bad performanc bad battery life and cost k in sep it will be k and then ppl will think of buying it
1434,beebom chall meko ny karna minute ka video
1435,a mm wide with inch screen br br edge fusion mm wide with a inch screen and no software updates
1436,deeplame damn that s high talk bro i ve been using the edge fusion for months no bugs whatsoever great experience is also out
1437,vikram i don t care about late updates but pixel is a bug fest even a basic function like alarm is a mess in pixel phones never a sane person will invest k for such a crap
1438,deeplame that s true
1439,also edge fusion will have no bugs but in other hands pixel is a bug fest if you experienced it
1440,group wont care about it
1441,sabse pehle maine dekha there should be gift for me
1442,yeh lo jamun khao
1443,there you go
1444,how come bezels are symmetrical looks like a biased review i didn t expect this from beebom
1446,group
1447,remember guys nobody will talk about front cam coz it is straight out trash and potrait mode
1448,over price h br best price
1449,not more than k as its drop features are underrated
