Author,Comment
Rutvik Reddy,In the group that'll prefer the Pixel 7 instead for ~6k more. The pricing really doesn't make sense when Pixel 7 which is clearly a better phone overall costs only 6k more.
Ujwala Wagh,Sony xperia launch
WorldforGeeky,Pixel 7 purchase kr le is price me 🥲
jugabrat sarma,"Its kind of mehh considering the price and the huge bezels. looks really matter a lot. 
Nothing's camera experience was better than last year's 6a. Pixel Experience is what makes it unique and nothing else that proportionately."
Ujwala Wagh,"₹36,000 to ₹30,000 best price"
Shyam,"Will it not heat up while video recording like Pixel 6a. If it doesn't, i will not buy it"
bhuwan chandra,"I am in group 4 who waits for price of 6a/7a to drop and while waiting the new a series is on the horizon and we thinks to ourselves to wait even more and end up never updating to pixel series. 
I have bypassed 4a, 5a, 6a and will bypass 7a also to stick with my LG G8x."
Robin,Waiting for big billion days❤
Anuj Kumar,I am in group 2 even tho i am watching this video on an 13k phone 😂
SP3 Associate,Group 1 now and in group 2 at big billion days 😂
Anuj Kumar,4:56 how did you get that metro shot😂?
Jason Downey,S21 Fe still a better choice
Kedar Punagin,"Saabji ham group 3 me, jo hai so hai, ham to le hi nahi sakte, phir bhi video dekhlete hai😂😂😢"
Christian X2S,Let us know when the Price drops to under 40K
Jigsaw Lod,5:27 7.5W wireless charging
Abhishek Singh Sambyal,Phone looks bad. Feels like a 20k phone. Look at the bezels.
afsu k7,wireless charging 5w
Kedar Punagin,"Bro those bezels are too thick, they look worse than XR AND iPhone 11"
Salman Majid,"Beebom is like Sprite, "" Sidhe baat no bakwas""... I m in Group 1 till BBD"
Hare krishna,Does wireless charging affects the battery life of a phone in long term if we charge the phone overnight daily?
Piyush Choudhary,The wireless charging is like 7.5W and not 18W
Nishant WASSAN,Group 2 after 6 months
bharath babu,Overpriced
Yusuf,"I Am from Group 3   (( lets buy this in 2024 after releasing Pixel 8A, so that i can get it around 28-30K ))"
Om Prakash,if the bezels were thinner you cannot tell me this isnt among the best phones for normal human beings
Priyam / AuRa,Memory is just 128gb? No other options available it seems… that’s disappointing
hello,This phone or iPhone 13 during sale?
Sober Samurai,I m in a group 3 in which I wait to price drop of 7a on offers like 6a n like to buy under 30k
rahul horo,Im in group 2 as every necessary feature is provided in 7a plus with a sweet refresh rate 90 hz.😊😊
Vinit Wagh,I'm in group 3 which who waits for Diwali festival season sale and then purchase it😉😉😉😉😉😉😉😉
Soumalya Paul,"I have been waiting to get my hands on my 1st pixel device.
Pixel 7a looks dope. I will def wait till bbd 23.
Price will come down and hover within range >35k<40k."
Asif Irfan,Pixel 7 kudos🎉
Abhi Dhoundiyal,Apart from 18w charging it's a good package
Akshay Srivastava,Will be waiting for competitor devices to launch and see where it goes. I think this year will be interesting for mobile devices.
Rahul Sharma,I am in Group 2 but waiting for BBD sale to get better exchange discounts.
chetan prajapati,G1
Starlight Ocean YT,"I have faced a lot of  connectivity issue with my pixel 7...no proper 5g even not 4g+😢
And im expecting same with pixel 7a with a poor connection 😢"
Kenz,"Still it has more bezzel
Nothing phone 2 will kill  both pixel 7a and samsung s23 fe"
Pinder4u,"I have Nothing phone 256GB  8 months old and am getting valve of 32k in exchange, does it make sence for me to get pixel ?"
Mandar Kahare,Pixel 7 is available at same price
Naman Arora,group 1
avula akshith,"18 Watts charging 😂 , even samsung upgraded s23 series to 45 Watts."
MrV,"I don't know why tech youtubers are ignoring the Network and WiFi issues in Pixel phones? In Pixel 6 series, it was due to a bad modem. But in 7 series they changed the modem and the issue was still there. Google needs to fix this issue ASAP, because the basic fuctionality of a mobile is to make and receive calls🤦🏻‍♂️. Instead of boasting about the camera and AI, may be these tech youtubers has to give a review about connectivity performance from the phones."
vikas mathankar,group 3 - BBD
Mukesh Pawar,Group 3 .. Waiting for a few months to reduce prices like 6A😂😂
Bhawesh,45k for pixel 7 is wayy better deal than this..
Akshay jojo,Im in group one untill the price of the phone goes under 30k
Aman Mondal,I am in group 3 who will wait for 5 months and then buy if when the price falls below 30k or just get the Poco F5 considering I am still using my Poco F1 I seriously need a major upgrade and that Poco F5 is looking great only confused about gcam support since I have been addicted to gcam ever since I was able to install it in this Poco F1 anyways my choices are either 7a or poco f5
Akhil Virat,Google fixed everything except price😂
Bappy,"😂 2 days ago i sell my 6A 
30 thousand taka!
Which I bought 38 thousand taka!

Now planning to buy 7A! Very very upgrade"
Papabear Youtube Videos,💰paise ho toh GROUP 1.. 💸 Paise na ho toh GROUP 2😆
Bony Jose,If the phone hand 7+gen 2 Instead of that crappy Exynos 😢
Rohan Sharma,"pixel 6a has serious call
drop issue"
Hell Boy,Didn't mention the fact that price reduce to 30k during October
cat man,I am in group 3... waiting for the price to go down🙃
Debu Mahato,I will buy pixel 7 over pixel 7A
Amit Kumar 1.0,I will purchase it this year if its price go down
Ragboy's Interesting life,"Pixel 7A really impressed me as an all rounder phone with decent Performance, Beast Cameras (for 40k), features like IP67, Witeless charging, etc., Display is Good with 90Hz but not the best with that Thick Bezzels and Battery is decent! But at 44k, ITS NOT A BUY!! Pixel 7 at 45k in sales makes more sense! Wait for BBD and 7A would be available for 35-37k easily! 
But yes its a Good upgrade over 6A"
ARZY,WHEN YOU REALISE THAT ONEPLUS 11R 5G IS A MUCH BETTER PACKAGE THEN THIS ONE!
Aliasgar Abid Sabunwala,Everything Google brings is mind-blowing.
BitCoin Heist,This is not a amoled display?? .. paying 40k for a LCD screen is big no no in 2023 😂😂
CoolGuy55000,"Price of Pixel 7 in India currently is ₹50k! There's no reason to buy a 7a at MRP launch price, if you can spend 44k then you can surely spend 50k. 

Wait for a sale for minimum 10k off and then we start talking."
GOPANNG,EXCEPT THE DESIGN THE REST OF THE PHONE IS AMAZING IN ALMOST ALL ASPECTS
Raudradaman Thakur,Going to buy this one on sale. 🎉
Sujit Tiyar,Group 1
ヴィックン,I purchased pixel 7 on hype because of yes google google but even it had bugs. I had chance to buy s21 fe with way lower price but i still thought because its Google it would be better. I was wrong so before you go ahead and blindly buy 7a i would recommend you to think and check if there are better option per your need.
Micheal Bay,"Is it waterproof, I always dump my phone into 🚽 ?"
Harivansh Chaudhary,I can't ignore those thick black bezels 😐
Ansh Agarwal,Gorilla glass 3 seriously 😂😂😂
SHAIK IRFAN KAREEM ALI,Pixel (& A series) get heavily discounted after a couple of months. Buying it at 44k or 40k is absolute waste of money. Next 3-4 months the phone will be available around 30-35k. That’s when you could pick it up. 😂
Akshay Chaudhary,Overpriced
EARTH,With poor service network
Ashesh Bhusal,over priced
Risab Gurung,
PRASANJIT DAS,"Group 2,but I will surely wait for price to drop a bit in sales and then purchase."
17BME3154 RAGUL V,I belongs to the Group who wait for Big billion day sales😅
Rishi Raj,I'll be in group 2 next year 😂
Bharat Matani,Still waiting for the service centre of Google so that I can buy this flagship
Lord Voldemort,What about the camera lens shattering issue????
sabharish anand,"Pixel 7 is 45k, pixel 7a is 40k."
Prathmesh Dhurat,Buy pixel 7 in deals for the same price
Suraj Singh Rawat,I would still go for pixel 7.
Iron mask,Group 3 - Wait for the price to drop 😉
Vishwajeet shinde,"I M IN GROUP 1.5
🤣🤣🤣🤣🤣🤣"
Wade Wilson,"I just bought it, it prices to 37000 after all discounts, charges 0-100 in 70 mins with Google 30W charger, wireless charging is definitely on slower side. Camera sensors are good but it won't feel like Pixel 7. A good bargain for 37K I would say, definitely a premium upgrade over Pixel 6A but if you have budget for 45-50K, go for Pixel 7 instead of 7A."
Honey Singh,Price should have been less than 40k 🤑🤑🤑
Sampath Kumaar,Group 3 - won’t care about it
Kalu Babu,Eh kanya 😅😅
Yagnesh M. Bhadiyadra,Group 1. Samsung is way better
DURLOV CHANDAN,"My question  is why should  I go for 7a, when 7 is available at the same price after discount?  Is 7A better than 7 , if not then 7A launch does not make sense"
Mayank Jain,I really wish that Google brings 256GB variant too. I think Pixel devices for the price are solid and great devices.
Mr Morningstar,The bezels are just too much
sk faiyaz,Group 3 i will buy pixel 7 in bbd 😂
MellowMood,"I think they should give larger display (Atleast 6.6"")"
Archit Shukla,I am in Group 2 for Pixel 7a!!
artto heart,Group 3
Vipul-on-guitar,Group 1
Sagar Chakraborty,I would take the pixel software any day over raw performance + blotware. So I am in group 2.
Aarav,Group 2 @39999
abhishek saxena,It would be helpful if you compare with 7 as no one is going for 6a now
Billy,"Pixel 7A     
Display               : ❌
Battery charger : ❌
Performance     : ❌
Multimedia        : ❌
Price                   : ❌
Camera              : ✔️
Software            : ✔️
Features            : ✔️"
Rajat Verma,"I am seeing a Good Upgrade over my Oppo OnePlus 9R , this is Very good upgrade but still i am looking for Nothing Phone 2 also.❤"
REVIEW YT,S21 FE 5G >>>>>
BabyJery S,Galaxy S21 Fe for 32k. Much worth than this👌👌
Baranidharan Sivasankaran,"I am still in group 1 sir... overpriced. The deal breakers for me would be the lack of a 256GB storage (where can I store my 4K footage??) version and fast charging! 18W charging in 2023 is atrocious to say the least! This is where our Chinese friends are differentiating themselves from their rich cousins from the west!! But, I am still hopeful as Google might bring my dream pixel at an affordable price bracket in 2 years timeframe! Fingers crossed!!"
Saurav Badaik,Group 3: can wait for the price drop😂
BREAKOUT ,OVERPRICED....👎
Sajad Bhat,Chatgpt will overtake google before google overtakes 67W charging speed. 🤣🤣
ashish gupta,I will be in group 3 which means that😂its a good phone but generally Google phones price drops alot and will wait till sale where it will be around 30-35k and then will buy it. Although its a great package and deal to grab on. Impressed with 7A. Mostly awaiting for you to review the Fold too of Google
Nishant Singh,It'll definitely get a price cut in next sale.
GamingwithDranzer,Me: Group 2 & waiting for big billion days😅
Prashant Sharma,Grp 1
Rohan Naik,"The bezels are a big let down. Google just isn't serious for India. The specs are also average. On the contrary, the poco F5 looks much more promising"
HUMAN,"I am gonna wait for 6 months
So it's price drops a bit
Coz 
Once a pixel user will always be a pixel user"
RAHUL JAIN,"Not for heavy users, fast charging is not fast enough in 2023, ""Group 1"""
RAAMPAGE,Group 3: don't care
Abhiraj Sahu,Group 2 during sales😂
Atul Rahi,Can you please share an in depth comparison of pixel 7a with S21 FE?
Manjit Sarma,The only complaint is with Battery capacity!
Sumedh Bamane,"I'm ready to exchange my Pixel 6a when 7a comes out , it's been only 4 months since I bought the 6a."
Rahul Shaw,The biggest disadvantage of buying pixel phone would be the depreciation in value of the phone in the next 6-9 months. Wait for the big billion day sale and it would be worth the price.
Sai Prasad Biswal,Group 3 waiting for price reduction and get it under 30k
nothing matters,It is an AI phone! 🤩
Ashutosh Kadam,Overpriced
SARANG REVINDRAN,"I just bought a picel 6a, so I'm in group 1"
PRATHAMESH PARAB,It's a good phone with the price tag it should have
Dheeraj,"I’m in group 3 who will pay just 2,000 more and get the pixel 7 instead 😂 ( pixel 7 is selling 45k on Amazon )"
Coer Mech,"Good attempt but 7 is selling in india at 45k. 
It makes no sense to buy this phone."
Ujjwal kumar,"You can't manipulate us, pixel 7a is still overpriced. Cameras are good because it's the successor of pixel 6a so it has to be."
Rajesh Aravapalli,Group1
SL Cricket Memories,Does anyone know the camera hardware info? Is that a Sony sensor?
Ashish Sonaniya,"It's still overpriced, i will just wait for it to reduce the price to around 30k, then only i am going to buy it if i Want a new phone"
Nishid Rai,"The only thing keeping me from switching to Google would be the storage issue. Otherwise a good alternative to samsung. I don't like the Chinese alternatives, good hardware wasted on horrible software support"
Jejo Jose,Did you forget to name tag the images ?
Murli Manohar Jajra,Changing is slow and price is much high
Swapnil Kundu,Overpriced.
Noob Programmer,right now in group one but will switch to group 2 after 2 years lol!!
Akash,Buy pixel 7 instead by paying just 5k extra.
Viney,Wait for pixel 8a
Udaykiran .p.p,Still group one because they could have upgraded the battery
Siddarth Singh,please say the truth usb c 2.0 or 3.2
Sumedh Alkutkar,Currently the Pixel 7 is available at 44k on amazon so its a better deal than 7A
Savith Shenoy,"Like 6a, 7a price should drastically drop in abt a month."
Mohammed Meraj Khan,"Group 3 - price drop.

OR

Group 4 - not buying it"
Deep Khanderia,Waiting for S22 or S23 FE edition 😅
Deepjyoti Ojah,35k would be a good price to buy this. A sweet spot.
Himanshu Das,Group 1
Sourav Chatterjee,Still 18w??
Hun ,Let me come to 30-35k in October 🥹Then😁
Chirag Parmar,My Galaxy s20 fe 5g is better than Google pixel 7a it's better 120hz display bigger battery better performance SD 865 better 📷
Srijit Paul,It is overpriced. Should ha costed around 35k.
Raviteja A,Group 3 waiting for big billion days 😅
notorious d,Pixel is for experience ❤
Himanshu verma,"Don't forget to mention that pixel 7a is bjt more expensive in $, but whereas in india at least they kept it the same as last 6a. I think it's a Good phone."
Anshumaan Gangwar,You can buy pixel 7 for 45450 and S21fe for 29999 right now
Mayank Patel,Bad phone
Vaastu Bharil Jain,Group 3 just viewing
yash kadam,Its overpriced especially considering we can get pix 7 at 49999
ѕυмє∂н 	𓀫 • 12 years ago,"As of now, the discounted Pixel 7 is a better buy but Pixel 7a will go on sale too making it the best all-rounder phone under 40k unless you're into heavy gaming."
MD Arbaj Momin,That intro and that lightings ❤
Akshay Vengal,Google has done a good job since Pixel 6 and even better since 7 with their pricing in India.
Izuku Midoriya,"It is priced near to the Pixel 7, so who would buy this dumb overpriced device"
JAVEED 🇮🇳,"Beebom: chall... meko ny karna 12, 15 minute ka video..."
Sandru Sanu,2
Sabareesh_619,"Is there any issues with calling, network, wifi ?"
Dr. Altaf,"I cant understand why there control pannel always remain dark , it bug or what the reason cant understand 😞"
Arpan Guria,Group 1 for sure… anyways Pixel price drops are fatal. It’ll trickle down to around 30K by this year’s BBD Sale maybe?
HarïOm Atkar,Jo he vo hi sahi he na group 1 na group 2😊
Kish0R,group 1
MK Linux,G2
Ashin PM,This will be a no brainer during sales
Shourya Aswal,I am in the group that will wait for big billion day
Aman Verma,Pixel 7 is still better in 48k than 7A in 44k 😂
SUMIT SINGH,Those who want to purchase this mob wait till sep or oct for Big BILLION sale .
Unknown,I'm in group 3 who waits to price drop and buy it at under 30k😂😂
Deepanshu Ujjainia,Let the price fall to around 30k. Maybe then i will consider.😅
Sidhant Jain,ab to lgta h main e bhgwan hu.. subha subha ummid thi mjhe fon open krunga aur pixel 7a pr videos flash honge saamne and it happened 😅❤
SKIY,I am in Group 2
debverine,"Feel like owning it for the camera, so Im in Group 2. Would love a detailed video/photo test review"
sayan dasroy,Does it have the manual mode?
Hemanth Kumar,Does 7a support Spatial Audio?
Anwin Syras,"2:57 , mahn look at that bezels , it's like an I phone se type"
Richard Topno,"Yeah, Group 2 but would surely wait for the price drop because the phone is solid 💥"
Piyush Aryaprakash,"I hope the price will go down like pixel 6a with offers and sales, as pixel 7 was selling for 44k during the sales . So anything around 30-35k is reasonable"
Bibhuranjan Nath,"It would've made sense for this to cost around Rs.30 - 35,000. For 43K its way overpriced."
Listen Up 🎶,"I am in group 3
When the price will drop in next sale I will buy pixel 7a😂"
Balwant Surti,I am in Group 1. Good review.
SS,Group 1 until the GIF and BBD sale kicks in 😅
Deep Kagathara,Who at Beebom reads ‘How to build a car’?
bihrooz asimkhan,iam in group 1 😂😊
Harikrishna Ampady,Were  the connectivity issues solved?
BIRAJ DAS,"Group 3
Waiting for Filpkart BBD sale🎉"
Bhat Armaan,Can't afford but still watching love from j&k
Vikash,Group 1
Harsh Ray,I am in group 3😂 who will wait for its price cut at around 32k
Ram sharma,Group 2
Subhasis Dey,"Once I used a Pixel for daily use as my primary device, I'll never switch back to any other device, even I'll say no to iPhone over Pixel, except raw performance there is no match."
wiser,Group 3 waiting for price drop 😅
Subhojit chatterjee,I don't know why tech youtubers glorify slow wireless charging. I would rather prefer a fast wired charging than a gimmicky wireless setup. Pixel 7 seems to be a much better option now.
Samyadeep Purkayastha,"The bezels are ugly for a ₹40K phone
None gives a F about Wireless Charging in India"
Sabyasachi Chattopadhyay,"I am a student and I want a decent phone in that range, Should I get a google pixel 7a or google pixel 7?"
Sachin Dighore,No update in charing still 18watt 😂 It will take 2 3 hrs to charge
Abhishek Arora,Fast charging makes more sense then support for wireless charging.
Berserker,overpriced
PN Vlogs,Obviously group 1
TheShortsWalaSWAT,Group 1 It should have been priced somewhere between 30-35k
Rajesh Subramanian,"I have been using pixel 4a for the past 2.5 years and became a big fan of it. So will upgrade to 7a, not now but probably towards year end."
Ek Musafir,Why buy it at 44k when pixel 7 is selling at 49k?
Rj,44k? I would rather buy OnePlus 11r
Pratik Tandel,"I bought P7 at 46k with discounts and this product is in the same territory.
Pricing Google pricing😂"
Jaseem Ksv,Buy it on sale....
Prasun Shome,"Only 2 things that disappointed me:

1. Limited storage of 128 Gigs, YET AGAIN! Its 2023 and still Google doesnt offer 256 GB as an option which is a big bummer

2. Charging restricted to 18W. When majority of the Android community has moved to 100W or above, Google is still at pre-historic 18W. Should have given atleast a 33W charging speed if not more. This will take ages to get charged

The pricing looks good NGL. However just waiting for the Nothing Phone 2 before deciding which device would be apt for me to upgrade to from my existing OP 9 Pro"
Sub Human,How about Pixel 7?( considering the current pricing between 7A and 7 )
VETRI,Group 2
TheShortsWalaSWAT,One can buy pixel 7 for 45k 😊
Piyush Singh,The thing is if anyone is providing around 40K + to a brand he wants an aspirational value with only apple provides .
Arkadeep Majumdar,"I'll be in the Group 3, where I'll buy this Pixel phone 3-4 months after its launch. It has been seen previously also, the prices of Pixel phones drop drastically within 4 months of period. That will be the best balance between Overpriced and Good package."
Ajay Kudtarkar,Can any one help me choose my next phone here ? Pixel 7a or pixel 7 or pixel 6 pro ? My budget is below 45k
Sudhir Kumar,"I am in neither of the groups you mentioned bruh, I am in the group which would like to wait for a price cut"
Barrel Halo,Group 3 waiting for the reduced price during big billion 😂😂
Ajay Kudtarkar,Why would anyone by 7a when 7 is available almost for the same price ??
Raven,40k hota to group 2 mai chala jata 😅
Rajan Baliyan,"*I am using Google Pixel 6a device since last 5 months. And I am not able to make direct vedio call via carrier network , I want to directly make a vedio call to my friend, for which I have to use Google's app like Google meet or Google duo for which we have to provided with high speed internet connection. In India internet speed is not so good in rural areas. This is not a user friendly behaviour by Google. It's a monopoly. We are using Google product itself. So atleast Google can give a access to direct vedio call. So that we can call using carrier network like JIO Vi Airtel. The second thing is pixel get too much heated during normal YouTube suffering and vedio calling via WhatsApp, from both back and front, that it start giving you warning on temperature increase of your handset. That is pathetic. These problem are as it is after many updates rolled out by Google. I had sent my complaint to Google itself till now, that query is in progress..... And Google had locked my comment from community, so no other users can relate to my problem. Please its a heartful request to everyone please don't buy new Google Pixel devices, go for any other phn*"
Raghav Rai,Group 2
Chinni Diwakar,Google makes phones as if they dont care.
Saptarshi Dhar,"Tensor again ? Exynos's stepbrother, no thank u !"
Sweta Padhi,"I'm in the ""wait for October sale"" group ;)"
Prashant Gawande,I m in between both the groups who will wait 1 year for price drop
saurabh yadav,"Pixel 7 @44999 
So group 1 although it is a good package"
Abraham Palraj,Watching this video on pixel 3a😅
Raghu,"Still in fence, currently using pixel 4a, I will wait till BBD sale to get this   beauty."
Suraj S,Will it's price drop like pixel 6a
RISHI EXPERIMENTAL,I agree with you sir my vote for group 2
S4QU1B,1
Vijayant Chaurasia,There's a group 3 that will wait for Nothing Phone (2).
arun kumar,"Group 3, waiting for the price to go down😅"
The Sweet Stuff,"Pixel 7 users be like ""30 din me pessa double""😅"
Nagendra Babu,"Group 3 
Wait for BBD😂"
Prem Prabhakar,i think its a good package.. but i'll bide my time and wait for its price to drop below 30k
Sreekanth Adicherla,Group1
Ayush Bora,Group 2 man this time its a strong package that google offers.
JIKS EDITS,We Are in between A and B who waits for sale and will grab it at 30K 😂
Tharun Gowda,Will 7a price goes down to around 30k like the pixel 6a ?
Vivekananda Pattnayak,Wait for next year sale😂
Manideep Battula,"You can get pixel 7 for 44,250 just pay 250/- more and get the flagship 😂"
Bharat Vashistha,I am in Group 3 who is going to upgrade from Pixel 6A but wait for BBD sale so that I get it for below 30K.😂
NCR WALA GURJAR,Waiting for big billion days 😂
Derek Harris,Group 2
Chinmay Teli,"6:28 Group C: Experience
Wait for 1-2 months price will reduce to 30k. at that price it is not overpriced and is a good package"
Shubham Salil,I am in Group 3. Just wait for the prices to go down like Pixel 6A😂
Harshal Sawatkar,Group 2 here
Dev Mehta,Group 2
Dr Thirteen,"One of the most crucial part you neglected is 18w charging, bought 6a for 25999 in latest sales, honestly no big problem with 60hz, wireless charging is not a must have feature and coming to camera it does great post processing so 7a with out fast charging is total waste of money at 44k"
Vanlalhmachhuana,My biggest issues on pixel phones is that there is no call recording option unlike any other phones and the camera sounds cannot be turned off even when it is on silent mode
Ashutosh Tripathi,i am in Group BBD
Abhijit More,"I'm from Group 3, slightly overpriced but a decent package😂😂😂"
Sagar S,Overpriced
Joseph jacob,People will buy 7 instead of 7a
Chinmay Teli,dont buy now. wait for 1-2 months price will come below 30k
VENOMYZER,Bought it already.
Bharath G,@beebom no groupism please
Suyash Bajpai,bro pixel 7 was available for 44k in amazon
sudhanshuwu,"The wallpaper looks sick, is it pixel exclusive ?"
Aravind Sankeerth,I have a Pixel 7 from USA
AshishTomar,Group-3 💔
Sreehari P,Group 3 : wait for price drop
arun kumar,So which is better S21FE or Pixel 7a ?
Kunal V,Would rather invest 5K more and get the pixel 7 instead
encoreartZ,Wait till price drop. You can get it at 35k i believe
vamshi kailasa,I will buy in next big billion days....😎
Aravinda Babu R,Group 1
hinsing,7a is priced similar as 7 .
Chiru Naidu,I frankly feel like this 7a is not worth the 43k by getting a antutu score of 7lack where all other phones in this price range are getting 7 plus gen 2
Parth Gandha,"6a launched for 44k in July 2022 and is now available around 30k.
Better to wait 6 months for the same thing to happen with this."
Sanjiv Mishra,Buy pixel 7 just by paying a few more bucks u get a lot more
MAHESH YERRAM,pixel 7 is at 49k how close or far is 7a from 7? for that 6k difference ?
Over The Tech (OTT),I'm in group 3 😂 waiting for BBD sale
Baldgeta,128gb is not enough in 2023. Need at least 256gb
Prannav,Pixel 7 vs 7a
Syed Shouaib,I love pixel phones main reason im scared to get it is bcz of privacy
Morning Mocha,It's a good phone but I'm gonna buy it if it comes around 34-35k or under. It's better to buy pixel 7 rather than 7A at 40k
karansing jonwal,Group 2
Goku Vinod,I'm in grp 3 waiting for the price to drop down in the BBD sale so that I can recommend to frnds
Abhishek Awatade,"I am in a group ""I can't afford it. """
Farhan,Group 1. Always will be!🤣
abdul khader mohammad,Group 1
NISHUGARVU,"40k seems little expensive
It should be 35k
Just my opinion"
D•estiny,Jenshin impact 🙂
Avinash Anand,Will buy it when it comes under 30k in BB sales 😂
yash,I think 35k is fair price
Nikhil Patil,Group 1: overpriced
Sumit Singh,They made a 9mm thick phone and still couldn't manage to fit a bigger better.
jithin sankar,I would go for a 33 Watts charging than the wireless charging 😅
RetroGamer,You can get snapdragon 8 plus gen 1 for this price but the camera might be good in Google. Idc because performance is future proof
PQRest,that squarish design is just soo.. good. phew..
sunsh9n,Just buy it on sale 😀
Pranav Patil,"Not worth it, guys don't forget to consider the after sale service. It's pathetic for google."
Korrapati Sree Harsha sharma,"Pixel 7a is Overall a good package.. but seen some of videos on pixel fold as well I say a good attempt on hardware side , software on pixel fold is better 😉......."
Nishant Bobby,Group 1
Charan Devapongu,"definitely group 1, pixel 7 costs below 50k ."
Nagarjuna Srinivas Komma,Would rather buy a Pixel 7 for that Price.
Sarang Harkare,Group 2
Satish Chandra,Group 2
Debi prasad Mishra,Group 2 off course ❤
Atanu Saha,I'm in gr.3 who will wait for the BBD sale to bring down its price to 30k😅
sudhish ram Reddy,I'm in Group 3...  I'm waiting for big billion day price cut ....
Babji Paidala,Group 1 now and group 2 while Big billion days 🎉
Sai Saurav,Is it worth for 34k after exchanging with my op6 ?? Or should i consider other options like S21 fe oe Poco f5 ??
Dhanesh S,"At that price, why not just get the pixel 7 instead. Google should definitely reduce the price to 35k"
Krishna Prabhu Pothuri,Is it 18 w wc?
namit gupta,Group 1
Legacy 5,Just 4000mah battery in 2023?
Anshuman Parashar,Which platform will it be available on?
Akash Sarkar,Overpriced
Pawan M Bhat,"Idk why are you comparing it to 6A, rather than 7"
Jagpreet Singh,Pixel 7 is selling for 48k on Amazon. I think pixel 7 will still be a better option.
Yash Raj,Over priced
Javid Naseem,But you can purchase pixel 7 instead which has CG Glass Victus
Yaruishang Jagoi,"I'm in group three ""Can't afford it!!"" 💀🤣🤣"
Tejash Singh,I feel that.. They're really slow about upgrading  the battery capacity.. I'm a huge pixel fan and I really want to buy it.. But the battery..!!
RONᏘᏝᗫ,"If the offers and deals come 
And the price goes under 35k
Then its a good deal 🤝🏾"
Maninder Singh,Why not buy pixel 7 at the same price??
LvL Up,"I am in group "" Get Pixel 7 instead"""
Srashta Saha,Group 3 “wait for it to get below 35k in sale”😂
Gopi Nath Ankupalli,Let's wait for BBD and great Indian sale
Abhishek Chatterjee,Pixel 7a is added to my BBD 2023 Wishlist 🌝
Abhinav kumar,"With google 6a still in the realm of 30k pricing, i dont think 7a price is going to drop any soon"
Chandan Mahato,Group 1 covert in group 2 after the price drop like pixel 6A😂😂
Kamran Kaifi,It seems like pixel 7a is better than flagship pixel 7
Tapan Kumar Samal,I am in group 3 😂😂
Abhishek Gupta,I just bought the Pixel 7 for 43k
Vidhyapathi A,Group One
Akshay V-Log's,Group 1 for every Phone...🤣🤣
creed,Group 3 - don't care about it
V BW,What about service? Or actually lack of it.
Bittu,Group 1
Tanmay Jadhav,"Why would i even buy this non sense phone when i can get pixel 7 for 45k as on posting this comment!

In no manner this is a good package. I was waiting for this to decide between it and OP11r. But google just made my choice simpler!"
Sangeeta Tirkey,I m in Amazon great Indian sale group😂
Raj Sahani,Group 2😘
Manav Khehra,"the bezels, Jesus"
Anil Saini,"Samsung giving 4 OS update, but those update are like 7-8 months late unlike day one in pixel"
Siddharth 12,Simply i will wait for few months to get price drop on this device 😂
Suryabhan Singh Rawat,"Group 3 
The best midrange phone🎉"
Muhammed Aslam,Older pixels have network issues is it ok with that area
shiv jani,Base price 40 k so I will select group 2
Imran Hossain Rohit,Price is ok just can't afford it now recently bought POCO F4 at high price 😞 so fuçk
Gokulnath Velumani,If it comes under 30k the battle begins nice one
Rahul Mondal,Just think..Pixel 7A goes down under 30k just like Pixel 6A in BBD sale..Omg greatest ever deal
Anuj Acodkar,Why don't use guys talk about network reception on mobile data and battery drain issues on the tensor G2 chipset???
Ashwani Shukla,You should have compared it with pixel7 and not pixel 6a .
Sarvagya Tiwari,Group 1
dontgowiththeflow,Group 3: wait for 4months and buy at 34k
Mohammed Umair,Is there any buy option to exchange Pixel 7a phone via Pixel 6a then how much gonna its effective price?
TheCyberVillager,Overhyped!
Harkirat Singh Walia,Very much overpriced ...those thick bezels remind me of Sony Xperia phones 10 years back
Rananjay,"Why no one has a problem with Google giving only one storage option of 128gb? I mean, come on! It's 2023, and 128gb just isn't sufficient anymore for many people. Or they should've at least provided a micro sd card slot in it. Also, 128gb and a plastic back design at 44k look overpriced."
Arshad M,"I am in 11R group. 
Was waiting for pixel 7a, but after watching its launch specifications. Made my mind to go for 11R. 😊"
Saket,Google gives the same processor to a 40k Pixel 7A and flagship phone 1.5L Pixel fold😂😂
Arjun Singh,google always leaves some left out feature in pixel phone. this time it's bezels. still better  than before
Ravi Raj,"Cons-
1.Loads of bug
2.Slow charging compare to it competition
3.heat issue
4.Poor fingerprint"
Sevukamoorthy Gopalakrishnan,Pixel 6a vs pixel 7a camera comparison
life vineet,We are getting pixel 7 at same price (Amazon)
M.V.  SHORTS,"I think ye sasta nai hoga 37 or 36 se neeche to nahi jaane wala..
6a 23 24 ka aaram se milega ab"
Neev,I am in Canada and I bought the Regular Pixel 7 for $500 Canadian Dollar (30k Rupees). IT is a lot better then the 7a. I will probably sell this one and just pick up the Pixel 8 when it comes out. Pixels don't have amazing specs but there super fun to use. They also do the fundamentals of a phone really well.
PartlyWater,"Considering the $ to ₹ price is 41K, 44K does seem appealing. Dowside is that we don't get the price drops or sales like US market gets."
PMASPHX,Still overpriced as shit 😂😂😂
StaTus,Group 3... After few months price change l!😂
