Author,Comment
Robert,"i will probably go with group 1. Investing in a phone more than 20k is stupidity. The reason is simple, use a phone like a phone and not a computer and a DLSR. Not so complicated right?"
Slip Of Tongue,Group 1 :  be patient. You know what I mean 😂
Fazal Aseez,Over priced - go for  Pixel 7 at rs 44k
Gri Tharan,Good with pixel4a ❤
Sajal Rastogi,"Compare camera with pixel 7, onepls 11r, onepls 11, samsung s21 fe.
Then I will tell in which group I am."
Adithyeshwar goud,bro can  u make a 7and 7a comparision
xeta yeta,I am in sale group
srikanth vemula,"The user experience on a pixel is world class, you can buy any pixel phone just for the fact that you will get pure android."
Yash Chopda,Bhai ne bola group 2 toh group 2 baki kuch nhi
Diwakar Mathur,isn't pixel 7 available at 45000 on amazon? Why would someone get this at basically the same price?
Viren Vivek,overpriced.... 30k would have given us a better choice.
Abdullah Vlogify,Group 2
Umar Syed,I just have a issue with the price like on amazon the pixel 7 proper is 45k! So for 1k extra doesnt the 7 make more sense? Waiting for some major price drops like the 6a
Sourav Chandra,we need a camera comparison between pixel 7A and galaxy s21 fe..
Amey Mirgal COD,So the people who buys 6A like wasted time and money 😂
srttp2,"I was willing to buy the next pixel phone but it has no fast charging and no 256gb store which are a must for me, guess I gotta wait for the nothing phone 2"
SAPTARSHI CHAKRABARTY,Was there any hitting issue you faced in your test???
Japan Bhavsar,"Go for S21 FE, Still it is the best phone to buy in value for money category"
Lokananda Siddayellappa,Will 7a record call automatically like Samsung phones.?
Dark Hat Gamer,Group 3 people are the ones who wait for Big Billion Days and Great Indian Festival where we can see massive price drops 🤓
vedant,Group 2. Because it is still a good package in the price of 40k but as the Google pixel 6a I think its price will also go down so wpi will wait for it
Akash Topder,"1. No 256GB option
2. eSim is still not ready for Indian market
3. Should have 120 Hz AMOLED"
