,Comments,Comment ID
197,vikram aren t you the guys who later then complain about xiaomi as well motherboard updates and s it,70640_1
198,vikram yeah motherboard,200971_1
199,it will,450847_1
200,krooksgaminginhd yes xiaomi is better way more people buy mi than google because mi is vfm and uses blue blooded snapdragons instead of crapxynos that heat throttle and conk out early,999546_1
201,vikram it s google not xiaomi,334706_1
202,ryan izanami around k great price and where is the gb version,899817_1
203,indeed it is still a better option but with a reasonable indian pricing it ll be a steal,412758_1
204,i think if someone has to buy a new phone right now they should definitely consider the a but if you can use your current phone till october then this would be a real value for money device around k during the diwali sale in either case its a good buy kudos to google,187513_1
205,shiv for k just try n buy a pixel or a oneplus gb right now cant get anything better vivo pls avoid as the ui is damn shitty vivo has the best camera but ui is unbearable,388214_1
206,what s best smartphone under k inr for best camera br br vivo x vs pixel vs oneplus br which is best or anything else,770379_1
207,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional,440598_1
208,shiv if you can wait get the pixel quot is very large and not on handed for most people,555453_1
209,suyash bajpai kuch bhi amazon doesnt sell pixels officially so if something happens you are shit out of luck,282406_1
210,shiv if u need right now buy oneplus gb or pixel gb or wait till diwali and buy s s plus or iphone when price drops,711194_1
211,eva girl wait for s br agr abhi chahiye to go for iphone or pixel,250108_1
212,whats best smartphone for best camera under k br br need for office it professional work and personal camera for clicking birds wildlife and recording videos sometimes,453529_1
213,suyash bajpai br need gb storage br need inches screen or larger br need best camera,705445_1
214,shiv wait for s or go for iphone,483043_1
215,what s best smartphone under k k for camera for year stable use,603129_1
216,pixel was available for k in prime day,381972_1
217,jyada umeed mat karo price drop se kyuki is bar package sahi hai,878802_1
218,totally agree,452411_1
219,i am aslo waiting for price drop,294851_1
220,i m in group i was expecting around k as it s but k seems good i said group because i may move to group or depending on it s price during bbd sale till then i m sticking with my a,246171_1
221,pranay sarkar lol i was so right to say you are an hypocrite and a person who jumps to conclusions without knowing the actual facts br its my real name here and so funny that you judged it may not be a real name br i feel bad for your dear ones who have to tolerate this shot of yours daily,967035_1
222,christy yeah yeah yeah remain cracked up i was commenting because i don t like to go amiss when someone says something idiotic but you have assumed me hypocrite but i won t get called hypocrite by some random online loser who s even afraid to put on his own name darrpokon se kuch nahi sikhna so i won t comment again,400520_1
223,pranay sarkar your response though quot just your opinion mean nothing to me quot actually cracked me up and then next comment you come with not to take to heart hypocrisy ki bhi seema hoti hea bhai,63033_1
224,christy same to you guruji,459715_1
225,pranay sarkar lol it is okay buddy get well soon,404913_1
226,christy sure it was just an impulsive response to your opinion stick to your opinion and please for the sake of humanity never take anyone s views to your heart,248274_1
227,pranay sarkar i did not mean to change your opinion i just said a fact as i have seen the photos taken in a a not that great literally every phone out there has better camera than the a now br but don t take it to your heart,277684_1
228,christy just your opinion doesn t mean anything to me,747606_1
229,the camera is not that great in pixel a i think my partner uses it and the final photo that it processed does not look good,106502_1
230,in the same group if the price gets to thousand i don t think i d be able to resist myself and the a rocks the camera still hits it out of the park most of the times,283948_1
231,another person using a waiting to buy a after some months hi,705191_1
232,i am also looking for upgrade after using mi note pro for years br got good job offer br br what s best smartphones for working professional girl in engineering br i have never used iphone but i have ipad br br budget k br need good camera br br what s best smartphones for engineering professional,426734_1
233,ojas sahasrabudhe no google has discontinued it with phones released after,110504_1
234,christy i can t comment on that as my phone usage is very low i don t have any of the usual big battery draining apps whatsapp fb etc amp i don t use my phone at all while charging as well as few minutes after i generally only click still photos so i haven t experienced any heating or battery issues so far,956440_1
235,christy i suppose you would get that with any pixel phone,340017_1
