,Comments,Comment ID
166,"DO Not Buy. Coming from an LGV40ThinQ  to  Pixel 7 (Not Pro) - I feel Downgraded. 

Pixel 7 : *IS A FAUX iPHONE - Let's start there. Know what you're getting into. About 2 weeks owning and using frequently and for many things.

NO HEADPHONE JACK?! THE ONE THING YOU HAD TO MOCK OR EMULATE, REALLY?! As an Audio Lover, A whole generation of people who still know how to use headphone jacks and connect their things to boomin sound systems with 15s and such? - You even have an Equalizer? FOR WHAT? This thing has BAD SOUND! BAD SPEAKERS! (Compared to my LG, That is, Thing was amazing)

Overheats on basic use, VERY HOT VERY VERY HOT? Not using Camera AT ALL? (Seemed to be a ""reason"") HOT AF ON just basic Pokemon Go use? What? Just watch it Glow Red while only attempting to download a few files. I feel I'm going to break it. No kidding. It's that hot. With no case even. 

Navigation buttons / Cannot re-arrange.  What?  Why? Hello?   I see on Forums Years of asking ""WHY?"", so Why?

Pull down top menu? Can't pull down on it's side, There is no Wide, Sidescreen variation, you HAVE to rotate and pull down from top. ONLY

The Camera on the back? Bulbus! edged, sticks out a lot. If you get a message? Phone ""Flat"" on a table? - This thing will slide around as if it was the Winter Olympics.

SLICK CASE - Will slide out of, off of, into, anything. Buy a case ASAP - All Cases I Found btw? If it's not a clunky OTTER style, it's not Flush with the surface. Mostly bad cases for a mostly bad device. *adjusts glasses*

Short battery life that begs me to turn on ""Saver"" features. ""No"" - I want full power, good brightness, loud sound. etc. The base functions of the device Suffer on this electronic and I'm just not sure why.

The Camera? Nice, But - The App it's self (google photos) seems to stumble (maybe it's just me) on most base functions as well, there is no quick way to edit, sometimes, other than RIGHT when you take the pic, this is fine, but the finalization step is a bit tedious when trying to get multiple pics in a timely manner. I'm not a fan of using 3rd part apps constatly (Paying, free versions, ads, etc just to edit a pic my phone took? cmon now, Better default software pls)

The power button and general hand use, Already kinda annoyed that Taking a screencap now makes me pinch and push one side of my phone in order to hit the power and vol down at the same time? Like? What?   Makes WAY more sense, even for smaller hands, to have the buttons be on Opposite sides of the phone? *If it was built to be so quick 1 handed, then why even include the on screen navigation buttons that you can't adjust /at all /ever? As a formality? a barely functional lie? - My point, Reaching one's thumb, as a right handed person, to the bottom left corner, to go ""BACK"" - A VERY COMMON PRACTICE?!, Is just a massive NO, BAD, BAD PHONE MAKERS, THINK ABOUT WHAT YOU DID! you're almost forcing iPhone mock controls or 2 handed use? oof.

There is no High Screen Resolution for the reg 7, Only Pro* - No 1440p for you, just 1080 (which is fine imo)

The Updates I got? All security, not really any ease of use - So I guess they are hard up to keep this thing like THIS, A Mess. 

Justify owning this thing however you wish, but I see why they pushed me out the door after I was ""Dumb enough"" to not inquire about the Samsung I could have got instead. I can't return it and there is no insurance on it. GG. I better just suck it up and treat her with respect, unlike it's developers. (I can prolly think of more, this is it for now / Should do a real review)

This was a Fail.",772442_1
167,this video makes me sad ;( i just bought pixel 6a 5 days back,520031_1
168,"I'm from the UK. In group 2 and just ordered a 7a, fed up of the constant random reboots of my Motorola G200. With the G2 chip and embedded AI this should be at least 1000% better than my current pgone.",179759_1
169,Any bees were bombed this time???😂😂😂,597078_1
170,we all are gonna wait and buy it on BBD sale !! That will be the best price for the pixel 7a,969839_1
171,Why dont tech reviewers dont talk about iphone specs when they review iphones as much as they do on other devices. Like what sony sensor the iphone is using or whatever...,548636_1
172,Is thier any heating issue with this phone,856486_1
173,"After 6 months I will be in group 2 
Till then Beebom rocks",554037_1
174,Please make a comparison video of the Pixel 7a and POCO F5. Both launched at similar timelines. And also I'm finding it hard to decide.,621665_1
175,It is still overpriced,932263_1
176,"this is probobly the best channel in india and bangladesh combined, only if it didnt have music on talking, it could be better",443925_1
177,I will buy it for sure around 35-37k,702370_1
178,🛑VoNR enabled or not?,860600_1
179,Group 3 : Just get the better pixel 7,675589_1
180,"Group 3 ,will be waiting for diwali sale..",532689_1
181,I will wait for flipkart’s bbd sale😊,749954_1
182,"Hey 7A Bro, be ready for many OS and App bugs

Your friendly neighbour Pixel 7 😂",786936_1
183,Kharid kaun raha hai isko jo group devide ho.?? Pixel is a complete flop show outside of social media. I have barely seen this phone is a handful of hands in its years of existence.,134516_1
184,G3 people : only watching all launches but strictly not to buy😆,280789_1
185,As long as they use TENSION processors nobody cares about PIXEL mobiles.  Because they heat up like anything and drain the battery like shit.,733438_1
186,But how to buy charger,721584_1
187,I'm thinking the Samsung A54 is the way to go,18951_1
188,We're really missing the dope intros,320135_1
189,I am in group 3 aka the ones who are praying for a price drop in the future like the 6a,815109_1
190,Group 1 till big billion sale. Group 2 in big billion sale.  Group 1 again after big billion sale.,876517_1
191,Reminds of a certain very underrated Samsung phone 😅,931421_1
192,Group 3: Wait for the Big Billion Days Sale to get the Pixel 7a under 30k!💥🙇,743631_1
193,Overpriced. 30k-35k should have been the price.,387815_1
194,The main problem with google is no fast charging. Especially OnePlus users cannot switch to pixel as it is having only 18w.,862924_1
195,group 3 : buy pixel 7 fro amazon for around the same price,458840_1
196,How is battery performance i am buying for first time and I have booked IT,501392_1
197,Eagerly waiting for the big billion day sale now where I'll get this for under 30k just like last year with pixel 6a,684024_1
198,6A still better at 28999,408986_1
199,How about pixel 6a in 2023 at ~25-29K Price?,191671_1
200,Group 3 :- waiting for BB price cut,795189_1
201,Is it better than nothing phone?,973914_1
202,It's a good package. I'm in  group 2,935484_1
203,Really Awesome upgrade from Google... Because I'm 6a user ... Im supported Group 2,705322_1
204,Those bezels man 😅....,299554_1
205,Love the phone. Will wait for the price to come down a bit.,240674_1
206,"But now we can get pixel 7 for 50k, just 6k more than 7a. So shouldn't you go for 7.",671260_1
207,"We are pixel enthusiast who want best camera,user experience and decent performance
Ps- would wait for BBD sale and would grab it at 35k",165237_1
208,im in the group thats going to get it for 30k in a couple of months,767002_1
209,Wait for big billion days lol,323622_1
210,Group 2 are the idíots who will buy at 40k and Group 1 will wait for Big Billion day sales and buy the phone at 26k. Lol!,376588_1
211,Is their any room for another group? 😁😁Group 3: any word on Xiaomi 13 will launch in India?,328421_1
212,i will buy this phone in 2025.,176982_1
213,If i could differentiate i'd be highlighted (not me you know who),836346_1
214,3:19,985958_1
215,What about service center availability? Is it same as past or changed now?,131108_1
216,"over price h
34,999 best price",95760_1
217,"Group 3 : would rather buy pixel 7, which is better and costs 45k. Pixel 7a is weirdly priced, rather overpriced imo.",553732_1
218,is it better than samsung s21 fe 5g please reply i'm going to buy.,685462_1
219,Food for thought: Isnt it better to get a Pixel 7?,388738_1
220,I'm not in group 1 but I still believes this phone are comes 29999 rs on big billian s time 😅😅😅,364222_1
221,What was that third game he was playing??,425569_1
222,Group 3 : waiting For BBD sales,770263_1
223,Group 1......,368068_1
224,i miss that cool intro.. rupesh pls start using it again,244397_1
225,"for this pricing if anyone wants to buy it now or soon, its way better to spend more 6000 to get the pixel 7 itself.",199740_1
226,"guys planning to buy this for someone so in this range for the average person who would want a decent battery good cameras are there better options??
pls help",370558_1
227,Group 1,848759_1
228,How come bezels are symmetrical? looks like a biased review. I didn't expect this from beebom.,47507_1
229,The fact that 499$ 7a  and 1799$ pixel fold having the same chip [tensor g2] is just insane.,101074_1
230,"I will g4😂😂
Still waiting for price cut....30 k",452322_1
231,Grp1....it should be 30k-35k,364576_1
232,Two 2 doo,272981_1
233,Ofcourse overpiriced as 6a's real price has been 32000 for almost a tear now...its just the novelty price..and will be reduced in few months,704417_1
234,"They are already loosing in for chat gpt and still they think best brand and play like apple being stubborn on giving features they will even loose in smartphone market its time for them to get more sales, Obviously they should give these features 😂",725291_1
235,"This phone has one nano SIM port and one esim port
Does India supports esim?",937927_1
236,"Bro why people are so obsessed with power ,  software is everything, experience a pixel or iphone (tho i hate ios ) then you'll know",234488_1
237,Group 3 watch video only for fun 😊,182160_1
238,group 2.. because getting 4k of on HDFC credit card. so getting it in 40k,314777_1
239,"I am from group 3, who are waiting for BIG BILLION SALE",540803_1
240,I just don't understand why many people love face unlock when the fingerprint scanner works just a good 😅 .. get an iPhone if you want face unlock lol,110129_1
241,Am in the middle group,198855_1
242,Obviously grp 1,259551_1
243,"Insanely huge bazels, no fast charging, price almost as regular 7...😢",331288_1
244,"The main advantage of pixel series is Android updates
Pixel will get first and three full updates and security update for five years

None of the brand gives this",970283_1
245,"Group 3 , when 7a will bi under 30k 🌝",719533_1
246,"Bro just came out from darkness, Batman",915409_1
247,Watching it in my Pixel 7 and I can't find any difference from my phone apart from maybe glass back.,291735_1
248,"I just don't understand Beebom's recommendation at times.
How can this be a good package at current pricing, it's priced so closed to pixel 7 (currently retailing at ₹49,999 w/o discount), which has better build + better cameras+ better charging.
Pixel 7a is definitely slightly overpriced, and people will only start getting this once the prices are slashed, just like what happened with 6a.",331082_1
249,Bezels  are deal breaker for 44k,212358_1
250,But confusion is 7 all ready price is 45k and 7a price is 43k ? That's mean big brother (pixel 7) is a good choice for purchase!..,358645_1
251,Group 1,785846_1
252,Group 1 - The ideal market to be targeted is now 30k to 35k...,982634_1
253,What is the name and model of the white wireless charger?,818835_1
254,"6:05
I'm in Group 3

Wait a few months for the price drops, just like the older pixel A phones.",601491_1
255,"Group 1,bcz I get my pixel 6a at 30k only",56817_1
256,"Will buy it next year at ₹28,000",867255_1
257,Bezels👎,360341_1
258,It's overpriced,587023_1
259,Can you compare it with oneplus 11r? Because 11r is very good value for money rn.,974708_1
260,Lets just compromise on specs and 120 hz amoled but then pixel 7a is a good phone 😂,644651_1
261,"I have a pixel 6, after using this for a year I'm experiencing a horrible battery condition. 
It barely stands for 12 Hrs. The phone is discharging 25% of the battery overnight. 
I totally dislike the phone now.",63967_1
262,"44k frking overpriced 
Why even launch that as 7a if price is matching with 7",636007_1
263,Waiting for big billion days and great indian festival sale to buy a phone. 😅😂,826589_1
264,Why not go for pixel 7 by paying 5k more?,955549_1
265,"Is moto edge 30 ultra a better deal with sd8 +gen 1, 125 watts charger included  in the box, curved display, and same 3 years of android update.... Confused between 7,7a  and 30 ultra...",763246_1
266,"With only 6k extra , pixel 7 is a better buy… IMO",977944_1
267,I'm in Group A waiting for Price Drop to Become Group B,483979_1
268,"Yea, the bezels looks almost as thick as an iPhone!",196326_1
269,In Group 4: waiting for GrapheneOS to support this.,7470_1
270,"Groups 3, wait until it's @35000",723562_1
271,I m in Big billion day group,737469_1
272,Better than A54,855290_1
273,"I will say, just wait for a while.
Go through, reviews for one month. Then go for it.
Offer days are coming. Big deals Big days.",400323_1
274,Group 1 due to the processor,726594_1
275,Group 3- Well balanced (after card discounts),418282_1
276,pixel 7 for 45k only 😂😂,27715_1
277,"no group, but it in Big billion",635669_1
278,Instead I would just wait for an year and buy the Pixel 7 instead keeping the 6A as well! 😅 The 6A is still the best for its price but i guess the 7A is not worth the upgrade for its features and price.,67514_1
